[MAP]
#x	y	width	height
0	2832	1024	224
[GRID]
#grid_width	grid_height
128	224
[DEFAULT]
850	2957
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma, 20 = bullet
#object type: 80 = gatescene, 81 = brokenable-brick
#object	type:	50	=	hpbar
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	152	2984	1	23
15	168	2984	1	24
15	184	2984	1	25
15	200	2984	1	26
15	216	2984	1	23
15	232	2984	1	24
15	248	2984	1	25
15	264	2984	2	26
15	280	2984	2	23
15	296	2984	2	24
15	312	2984	2	27
15	392	2984	3	26
15	408	2984	3	23
15	424	2984	3	24
15	440	2984	3	25
15	456	2984	3	26
15	472	2984	3	23
15	488	2984	3	24
15	504	2984	3	27
15	584	2984	4	26
15	600	2984	4	23
15	616	2984	4	24
15	632	2984	4	25
15	648	2984	5	26
15	664	2984	5	23
15	680	2984	5	24
15	696	2984	5	27
15	776	2984	6	26
15	792	2984	6	23
15	808	2984	6	24
15	824	2984	6	25
15	840	2984	6	26
15	856	2984	6	23
15	872	2984	6	24
15	888	2984	6	25
15	904	2984	7	26
15	920	2984	7	23
15	936	2984	7	24
15	952	2984	7	25
15	968	2984	7	26
15	296	3000	2	35
15	392	3000	3	37
15	408	3000	3	34
15	472	3000	3	34
15	488	3000	3	35
15	584	3000	4	37
15	600	3000	4	34
15	664	3000	5	34
15	680	3000	5	35
15	776	3000	6	37
15	280	3016	2	45
15	408	3016	3	45
15	472	3016	3	45
15	600	3016	4	45
15	664	3016	5	45
15	792	3016	6	45
15	280	3032	2	56
16	296	3032	2	125
16	312	3032	2	125
16	328	3032	2	125
16	344	3032	2	125
16	360	3032	2	125
16	376	3032	2	125
16	392	3032	3	125
15	408	3032	3	56
16	424	3032	3	125
16	440	3032	3	125
16	456	3032	3	125
15	472	3032	3	56
16	488	3032	3	125
16	504	3032	3	125
16	520	3032	4	125
16	536	3032	4	125
16	552	3032	4	125
16	568	3032	4	125
16	584	3032	4	125
15	600	3032	4	56
16	616	3032	4	125
16	632	3032	4	125
16	648	3032	5	125
15	664	3032	5	56
16	680	3032	5	125
16	696	3032	5	125
16	712	3032	5	125
16	728	3032	5	125
16	744	3032	5	125
16	760	3032	5	125
16	776	3032	6	125
15	792	3032	6	56
15	296	3048	2	51
15	312	3048	2	51
15	328	3048	2	51
15	344	3048	2	51
15	360	3048	2	51
15	376	3048	2	51
15	392	3048	3	51
15	408	3048	3	51
15	424	3048	3	51
15	440	3048	3	51
15	456	3048	3	51
15	472	3048	3	51
15	488	3048	3	51
15	504	3048	3	51
15	520	3048	4	51
15	536	3048	4	51
15	552	3048	4	51
15	568	3048	4	51
15	584	3048	4	51
15	600	3048	4	51
15	616	3048	4	51
15	632	3048	4	51
15	648	3048	5	51
15	664	3048	5	51
15	680	3048	5	51
15	696	3048	5	51
15	712	3048	5	51
15	728	3048	5	51
15	744	3048	5	51
15	760	3048	5	51
15	776	3048	6	51
