#id	file_path	transparent_color_r g b
[TEXTURES]
0	enemy.png	0	0	255
10	Jason.png	0	0	255
20	Sophia.png	0	0	255
30	area2-tile.png	255	255	255
40	area2_bg.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#=========TILE=============
10204	10	117	36	151	20
# jump down
10301	109	38	135	72	20
10302	78	38	104	72	20
10303	44	38	70	72	20
10304	12	38	38	72	20
# turn run
10401	111	76	135	110	20
10402	146	76	170	110	20
# turn jump 
10501	111	175	135	209	20
10502	146	175	170	209	20
# up
10601	208	153	242	187	20
10602	208	203	242	237	20
10603	208	246	242	280	20
10604	204	283	238	317	20
# up run hight
10701	204	283	238	317	20
10702	147	283	181	317	20
10703	83	283	117	317	20
10704	5	283	39	317	20
# up run low
10801	203	366	237	400	20
10802	143	366	177	400	20
10803	84	366	118	400	20
10804	9	366	43	400	20
# up jump
10901	201	414	235	451	20
10902	139	414	173	451	20
10903	72	414	106	451	20
10904	9	414	43	451	20
# down
11001	204	283	238	317	20
11002	208	246	242	280	20
11003	208	203	242	237	20
11004	208	153	242	187	20
# transform
11101	105	326	131	360	20
#==========mini jason=============
# IDLE
20001	121	3	131	20	10
# run
20101	95	3	105	20	10
20102	82	3	92	20	10
# jump
20201	108	3	118	20	10
# down run
20301	49	10	66	20	10
20302	32	10	49	20	10
# climb

#========worm========
# walking
40001	46	412	64	422	0
40002	64	412	82	422	0
#worm die

#========Floater 2==========
# flying
60001	84	407	102	422	0
# fire
60101	104	407	122	422	0
# die

#========skull========
# flying
100001	42	530	60	551	0
# fire
100101	62	527	80	548	0
# die


#========mine========
#blinking
110001	53	557	68	565	0
110002	76	557	91	565	0
#die

#=======cannon=======
# normal
130001	96	603	122	629	0
# vertical fire
130002	41	605	67	631	0
# horizontal fire
130003	68	603	94	629	0
# die

#======eyeball======
# moving
140001	136	550	152	566	0
140002	102	550	118	566	0
140003	119	550	135	566	0
# die


#...

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#======sophia=========
100	10001	25	10002	25	10003	25	10004	25
101	10101	25	10102	25	10103	25	10104	25
102	10201	25	10202	25	10203	25	10204	25
103	10301	25	10302	25	10303	25	10304	25
104	10401	400	10402	400
105	10501	400	10502	400
106	10601	50	10602	50	10603	50	10604	50
107	10701	25	10702	25	10703	25	10704	25
108	10801	25	10802	25	10803	25	10804	25
109	10901	25	10902	25	10903	25	10904	25
110	11001	50	11002	50	11003	50	11004	50
111	11101	400	11101	400
#=========mini_jason==========
200	20001	200
201	20101	200	20102	200
202	20201	200
203	20301	200	20302	200
#=========Worm===========
400	40001	200	40002	200
#=========Floater2==========
600	60001	200
#=========skull===========
1000	100001	200
1001	100101	200
#=========mine============
1100	110001	200	110002	200
#======cannon======
1300	130001	250	130002	250	130001	250	130003	250
#======eyeball======
1400	140001	200	140002	200	140001	200	140002	200	140001	200	140002	200	140001	200	140003	200




# id	ani1	ani2	ani3
[ANIMATION_SETS]
#======sophia=========
1	100	101	102	103	104	105	106	107	108	109	110	111
#======miniJason=======
2	200	201	202	203
#======worm=======
4	400
#======Floater2=======
6	600
#======skull=======
10	1000	1001
#======mine========
11	1100
#======cannon======
13	1300
#======eyeball======
14	1400
[SECTIONS]
#id	filepath
0	area2_secA.txt
[SETTINGS]
start	0
